PFAM 	|	 Label 	|	 Clan
PF00096 	|	 CL0361 	|	 214
PF00400 	|	 CL0186 	|	 32
PF00069 	|	 CL0016 	|	 465
PF00041 	|	 CL0159 	|	 408
PF12796 	|	 CL0465 	|	 260
PF07679 	|	 CL0159 	|	 432
PF00560 	|	 CL0022 	|	 254
PF00076 	|	 CL0221 	|	 485
PF00028 	|	 CL0159 	|	 296
PF13855 	|	 CL0022 	|	 254
PF00115 	|	 CL0714 	|	 39
PF01535 	|	 CL0020 	|	 136
PF13041 	|	 CL0020 	|	 136
PF07714 	|	 CL0016 	|	 80
PF07690 	|	 CL0015 	|	 126
PF00435 	|	 CL0743 	|	 314
PF00168 	|	 CL0154 	|	 134
PF00005 	|	 CL0023 	|	 120
PF00595 	|	 CL0466 	|	 167
PF00008 	|	 CL0001 	|	 247
PF07645 	|	 CL0001 	|	 432
PF13516 	|	 CL0022 	|	 114
PF00271 	|	 CL0023 	|	 366
PF00001 	|	 CL0192 	|	 212
PF00084 	|	 CL0001 	|	 435
PF00520 	|	 CL0030 	|	 337
PF00169 	|	 CL0266 	|	 125
PF00053 	|	 CL0001 	|	 277
PF00023 	|	 CL0465 	|	 260
PF00078 	|	 CL0027 	|	 66
PF01344 	|	 CL0186 	|	 468
PF13499 	|	 CL0220 	|	 448
PF00270 	|	 CL0023 	|	 366
PF00004 	|	 CL0023 	|	 45
PF00106 	|	 CL0063 	|	 8
PF07686 	|	 CL0159 	|	 301
PF00083 	|	 CL0015 	|	 181
PF00412 	|	 CL0167 	|	 124
PF00651 	|	 CL0033 	|	 468
PF00612 	|	 CL0220 	|	 67
PF00046 	|	 CL0123 	|	 227
PF00361 	|	 CL0425 	|	 39
PF00071 	|	 CL0023 	|	 208
PF00514 	|	 CL0020 	|	 4
PF00249 	|	 CL0123 	|	 30
PF00415 	|	 CL0186 	|	 4
PF08238 	|	 CL0020 	|	 398
PF00018 	|	 CL0010 	|	 442
PF02493 	|	 CL0251 	|	 424
PF00431 	|	 CL0164 	|	 435
PF00664 	|	 CL0241 	|	 120
PF00013 	|	 CL0007 	|	 326
PF00501 	|	 CL0378 	|	 166
PF00307 	|	 CL0188 	|	 386
PF00089 	|	 CL0124 	|	 463
PF04082 	|	 CL0507 	|	 181
